Filename,Shape
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P014@cine_lax_4ch.h5,[ 12   1  10 382 171]
T1rho@TrainingSet@FullSample@Center001@UIH_30T_umr780@P019@T1rho.h5,[  4   3  10 380 137]
LGE@TrainingSet@FullSample@Center001@UIH_30T_umr780@P060@lge_lax_4ch.h5,[  2   1  10 514 175]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P010@cine_lax_4ch.h5,[ 12   1  10 442 189]
LGE@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P003@lge_lax.h5,[  2   3  10 514 139]
T2w@TrainingSet@FullSample@Center001@UIH_30T_umr780@P047@T2w.h5,[ 11  10 512 248]
Mapping@TrainingSet@FullSample@Center006@UIH_30T_umr790@P009@T1map.h5,[  3   1  10 396 149]
Cine@TrainingSet@FullSample@Center007@Siemens_15T_Sola@P007@cine_sax.h5,[ 12  12  10 384 144]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P016@lge_lax_2ch.h5,[  2   1  10 382 170]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P024@cine_sax.h5,[ 12  10  10 448 278]
T1rho@TrainingSet@FullSample@Center002@UIH_30T_umr880@P001@T1rho.h5,[  4   3  10 380 177]
Cine@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P013@cine_lax.h5,[ 12   3  10 448 166]
T1rho@TrainingSet@FullSample@Center002@UIH_30T_umr880@P007@T1rho.h5,[  4   3  10 382 157]
LGE@TrainingSet@FullSample@Center001@UIH_30T_umr780@P054@lge_lax_4ch.h5,[  2   1  10 516 175]
LGE@TrainingSet@FullSample@Center003@UIH_30T_umr880@P009@lge_sax.h5,[  2  10  10 512 232]
T1rho@TrainingSet@FullSample@Center002@UIH_30T_umr880@P008@T1rho.h5,[  4   3  10 380 157]
Cine@TrainingSet@FullSample@Center007@Siemens_15T_Sola@P019@cine_lax_4ch.h5,[ 12   1  10 448 176]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P004@lge_lax_4ch.h5,[  2   1  10 380 170]
Mapping@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P001@T2map.h5,[  3   3  10 382  85]
Cine@TrainingSet@FullSample@Center002@UIH_30T_umr880@P008@cine_lax_4ch.h5,[ 12   1  10 450 212]
Flow2d@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P031@flow2d.h5,[  2  22  10 382 119]
Cine@TrainingSet@FullSample@Center002@UIH_30T_umr880@P005@cine_lax_2ch.h5,[ 12   1  10 450 212]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P020@cine_lax_4ch.h5,[ 12   1  10 448 198]
Mapping@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P003@T1map.h5,[  8   5  10 512 117]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P020@cine_sax.h5,[ 12  16  10 416 162]
T2w@TrainingSet@FullSample@Center001@UIH_30T_umr780@P036@T2w.h5,[ 11  10 512 248]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P024@cine_sax.h5,[ 12  11  10 450 198]
LGE@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P006@lge_sax.h5,[  2   4  10 500 200]
BlackBlood@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P031@blackblood.h5,[  7  10 512 110]
Flow2d@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P020@flow2d.h5,[  2  15  10 380 119]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P005@T1map.h5,[  8   7  10 514 149]
T1w@TrainingSet@FullSample@Center003@UIH_30T_umr880@P017@T1w.h5,[ 10  10 512 248]
Cine@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P004@cine_lax.h5,[ 12   3  10 444 202]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P010@lge_sax.h5,[  2  11  10 384 170]
Mapping@TrainingSet@FullSample@Center003@UIH_30T_umr880@P010@T2map.h5,[  3   3  10 392 177]
Perfusion@TrainingSet@FullSample@Center005@UIH_15T_umr670@P019@perfusion.h5,[ 50   4  10 224  87]
T1rho@TrainingSet@FullSample@Center001@UIH_30T_umr780@P031@T1rho.h5,[  4   3  10 384 137]
T1rho@TrainingSet@FullSample@Center001@UIH_30T_umr780@P050@T1rho.h5,[  4   3  10 378 137]
LGE@TrainingSet@FullSample@Center002@UIH_30T_umr880@P002@lge_lax_4ch.h5,[  2   1  10 506 175]
Mapping@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P018@T1map.h5,[  8   6  10 514 142]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P020@cine_lax_2ch.h5,[ 12   1  10 458 198]
Mapping@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P010@T2map.h5,[  3   3  10 382  85]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P001@lge_lax_4ch.h5,[  2   1  10 382 170]
Flow2d@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P032@flow2d.h5,[  2  20  10 384 119]
Perfusion@TrainingSet@FullSample@Center001@UIH_30T_umr780@P054@perfusion.h5,[ 50   4  10 384 131]
LGE@TrainingSet@FullSample@Center001@UIH_30T_umr780@P049@lge_lax_2ch.h5,[  2   1  10 512 175]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P036@cine_sax.h5,[ 12   8  10 416 160]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P014@lge_lax_4ch.h5,[  2   1  10 378 170]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P005@cine_lax_3ch.h5,[ 12   1  10 448 198]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P024@cine_sax.h5,[ 12  14  10 416 162]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P001@T1map.h5,[  8   3  10 386 149]
LGE@TrainingSet@FullSample@Center003@UIH_30T_umr880@P022@lge_lax_2ch.h5,[  2   1  10 510 175]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P026@cine_lax_4ch.h5,[ 12   1  10 386 171]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P018@cine_ot.h5,[ 12   1  10 448 298]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P042@T2map.h5,[  3  13  10 386 107]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P003@cine_sax.h5,[ 12  13  10 456 198]
LGE@TrainingSet@FullSample@Center001@UIH_30T_umr780@P014@lge_lax_4ch.h5,[  2   1  10 518 175]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P011@T2smap.h5,[  8   3  10 424 141]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P018@cine_lax_2ch.h5,[ 12   1  10 448 198]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P026@lge_sax.h5,[  2  10  10 382 170]
